vector_index,test_case_id,frequency_hz,amplitude_peak_dps,frequency_zone,reference_did_enable_during_tone,first_enabled_sample_index,delay_from_tone_start_ms,release_delay_ms,enabled_samples_during_tone,tone_sample_count,enabled_fraction_during_tone,max_tremor_envelope_dps,max_voluntary_envelope_dps,max_tremor_ratio,max_on_count,final_enabled
0,f5p50_a10,5.5,10.0,formal_motor_band,1,160,600,470,340,400,0.85,9.526623725891113,3.079895257949829,0.9095832705497742,20,0
1,f5p50_a15,5.5,15.0,formal_motor_band,1,142,420,530,358,400,0.895,14.284592628479004,4.614962100982666,0.9092802405357361,20,0
2,f5p50_a20,5.5,20.0,formal_motor_band,1,141,410,580,359,400,0.8975,19.0465145111084,6.150083541870117,0.9091102480888367,20,0
3,f6p00_a10,6.0,10.0,formal_motor_band,0,never,never,not_applicable,0,400,0.0,7.7068586349487305,2.4855992794036865,0.8974230885505676,6,0
4,f6p00_a15,6.0,15.0,formal_motor_band,1,149,490,520,351,400,0.8775,11.561119079589844,3.728482246398926,0.8979291915893555,20,0
5,f6p00_a20,6.0,20.0,formal_motor_band,1,140,400,570,360,400,0.9,15.406234741210938,4.967594623565674,0.8974815607070923,20,0
6,f6p25_a10,6.25,10.0,shadow_boundary_band,0,never,never,not_applicable,0,400,0.0,6.867077350616455,2.2033982276916504,0.885364830493927,4,0
7,f6p25_a15,6.25,15.0,shadow_boundary_band,1,149,490,500,351,400,0.8775,10.312976837158203,3.309417247772217,0.8853833675384521,20,0
8,f6p25_a20,6.25,20.0,shadow_boundary_band,1,140,400,560,360,400,0.9,13.73415470123291,4.406796455383301,0.885364830493927,20,0
9,f6p50_a10,6.5,10.0,shadow_boundary_band,0,never,never,not_applicable,0,400,0.0,6.072197437286377,1.9719085693359375,0.8580055832862854,1,0
10,f6p50_a15,6.5,15.0,shadow_boundary_band,1,148,480,480,352,400,0.88,9.110002517700195,2.959803581237793,0.8585022687911987,20,0
11,f6p50_a20,6.5,20.0,shadow_boundary_band,1,140,400,540,360,400,0.9,12.14504623413086,3.943830966949463,0.8578017950057983,20,0
12,f6p75_a10,6.75,10.0,shadow_boundary_band,0,never,never,not_applicable,0,400,0.0,5.443724155426025,1.8612362146377563,0.8491992950439453,0,0
13,f6p75_a15,6.75,15.0,shadow_boundary_band,0,never,never,not_applicable,0,400,0.0,8.1666841506958,2.7900328636169434,0.8493556976318359,7,0
14,f6p75_a20,6.75,20.0,shadow_boundary_band,1,139,390,510,361,400,0.9025,10.887948989868164,3.720679521560669,0.8490451574325562,20,0
15,f7p00_a10,7.0,10.0,shadow_boundary_band,0,never,never,not_applicable,0,400,0.0,4.9406561851501465,1.7804896831512451,0.8201206922531128,0,0
16,f7p00_a15,7.0,15.0,shadow_boundary_band,0,never,never,not_applicable,0,400,0.0,7.40521240234375,2.674910306930542,0.8193845152854919,5,0
17,f7p00_a20,7.0,20.0,shadow_boundary_band,1,139,390,490,361,400,0.9025,9.871257781982422,3.5663981437683105,0.8194311857223511,20,0
18,f7p25_a10,7.25,10.0,outside_guard,0,never,never,not_applicable,0,400,0.0,4.350027561187744,1.7012825012207031,0.7982701063156128,0,0
19,f7p25_a15,7.25,15.0,outside_guard,0,never,never,not_applicable,0,400,0.0,6.529413223266602,2.551006317138672,0.7983974814414978,2,0
20,f7p25_a20,7.25,20.0,outside_guard,0,never,never,not_applicable,0,400,0.0,8.702899932861328,3.4019358158111572,0.7983113527297974,19,0
